,tickets,OPD,id,tickets_length,clean_tickets
0,Mohon info agar KK saya dan E KTP saya agar segera terdaftar di dukcapil. Masalahnya saya sudah mendapatkan KK baru tapi belum terdata di dukcapil malang,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,153,mohon informasi kk e ktp daftar dukcapil kk data dukcapil malang
1,"Saya warga Kelurahan Karangbesuki yang sedang bekerja di Bekasi. Bulan Juli yang lalu istri saya melahirkan anak kedua kami. Kami bermasuk mengurus akta kelahiran anak tersebut dan sudah memberikan kuasa dan mengirimkan berks kepada keluarga yang berada di Malang. Tetapi beliau menyampaikan bahwa akta kelahiran tersebut tidak bisa di urus oleh selain orang yang ada di KK. Saat ini yang ada di KK saya adalah saya sendiri, istri dan anak balita. Menurut saya sangat tidak efektif jika saya dan istri harus ke Malang. Waktu dan uang yang harus di keluarkan tidaklah sedikit. Mohon solusi nya dari pemkot Malang. Terimakasih.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,625,warga lurah karangbesuki kerja bekas juli istri lahir anak masuk urus akta lahir anak kuasa kirim berks keluarga malang beliau akta lahir urus orang kk kk istri anak balita efektif istri malang uang mohon solusi nya perintah kota malang terimakasih
2,"Selamat sore. Saya warga kel. Pisang candi, kec sukun malang. Kami suami istri dg akta kelahiran Kediri dan Jember. Saya sedang mengurus pembuatan akta nikah unt anak saya. Saya merasa di ping pong dan dipersulit di dispenduk. Data saya sudah masuk +/- 1 bulan tapi tidak ada kepastian. Khususnya dlm keabsahan akta kelahiran. Untuk membuat catatan pinggir di akta kelahiran kami.Sampai sampai kami disarankan oleh petugas dispenduk unt datang sendiri ta nikah ?? Mohon pemkot malang dapat membantu warga Malang raya. Karena banyak yg dipersulit seperti kami.terima kasihke dispenduk Jember dan Kediri unt mendapat surat keabsahan akta kelahiran kami. Dan saat surat keabsahan sudah kami bawa, catatan pinggir itupun belum bisa dibuat. Masih disuruh menunggu sampai batas waktu yg tidak disebutkan sampai kapan. Mengapa begitu rumit dan sulitnya mengurus surat unt pembuatan ak",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,877,selamat sore warga kel pisang candi kec sukun malang suami istri akta lahir jember urus akta nikah unt anak ping pong sulit dispenduk data masuk khusus absah akta lahir catat pinggir akta lahir kamisampai saran tugas dispenduk unt ta nikah mohon perintah kota malang bantu warga malang raya sulit kamiterima kasihke dispenduk jember unt surat absah akta lahir surat absah bawa catat pinggir suruh tunggu batas rumit sulit urus surat unt
3,mohon informasi apakah blanko e ktp sudah ada? Saya masih pakai Surat keterangan dari dispensing. Gimana cara / prosedur  print ktp nya?,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,136,mohon informasi blanko e ktp pakai surat terang dispensing prosedur print ktp nya
4,"saya mau merubah akte saya yang salah penulisan harusnya anak kelima tapi ditulis anak keempat tapi sudah 3 minggu saya pencarian berkas, berkas tidak ada",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,154,rubah akte salah tulis anak tulis anak minggu cari berkas berkas
5,sudah 3 minggu penelusuran data akta kelahiran dispenduk kota belum selesai2 dengan alasan nanti di sms kalau sudah ada padahal sangat diperlukan untuk buat paspor,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,163,minggu telusur data akta lahir dispenduk kota selesai alas sms paspor
6,"sy syamsul tinggal di tlogomas, saya ngurus KTP via petugas dispendukcapil yg ditugaskan di kelurahan tgl 26 januari, seharusnya saya ambil 7 februari. Ketika saya ambil ternyata yg jadi yg pengurusan tgl 19 januari. Mhn perhatiannya karena KTP penting untuk pengurusan apapun",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,276,syamsul tinggal tlogomas ngurus ktp via tugas dispendukcapil tugas lurah tanggal januari ambil februari ambil nyata urus tanggal januari mohon perhati ktp urus
7,"Selamat pagi dan selamat bertugas. Mohon bantuannya, untuk dibantu membersihkan sampah dan jatuhan ranting pohon yg menutupi aliran sungai di dekat Balai Serbaguna RW 5 Kel. Bandungrejosari karna saat hujan deras, aliran sungainya meluap cukup tinggi. Terimakasih.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,264,selamat pagi selamat tugas mohon bantu bantu bersih sampah jatuh ranting pohon tutup alir sungai balai serbaguna rw kel bandungrejosari hujan deras alir sungai luap terimakasih
8,"saya agresia warga perumahan griya asri blok G No 4, kelurahan Pandanwangi, Kec.Blimbing. saya mau menyampaikan keluhan saya terkait pengurusan kutipan dua akta nikah saya, karna akta nikah yang saya terima mengalami kerusakan dua-duanya(yaitu dokumen akta suami dan istri), sedangkan itu syarat untuk legalisir dan mengurus akta kelahiran bayi saya. nah yang menjadi keluhan saya terkait lambatnya proses pencarian dokumen kutipan dua di disdukcapil, padahal waktu itu saya mengurus dari tanggal 6-09-2017 hingga saat ini belum juga ditemukan.",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,544,agresia warga rumah griya asri blok nomor lurah pandanwangi kecblimbing keluh kait urus kutip akta nikah akta nikah terima alami rusa duaduanyayaitu dokumen akta suami istri syarat legalisir urus akta lahir bayi keluh kait lambat proses cari dokumen kutip disdukcapil urus tanggal temu
9,"saya Arifin warga Kec. Klojen. pagi tadi saya ke imigrasi untuk mengurus passpor anak saya. Namun ketika diverifikasi ada ketidaksamaan data Tanggal lahir anak saya di KK dan di akta lahir. Setelah dicek, ternyata terjadi kesalahan ketik oleh petugas dispenduk pada saat perubahan KK, sehingga pengajuan saya ditolak dan disarankan untuk melakukan perbaikan di dispenduk.Saat itu juga saya langsung menuju ke dispenduk, namun petugas menolak perbaikan dan saya disuruh untuk membuat pengajuan KK baru, yakni harus mengisi form KK,meminta TT RT,RW dan Kelurahan. Sungguh saran tidak masuk akal, karena jelas akan memakan waktu berhari2 padahal jelas-jelas kesalahan ada dipihak petugas dispenduk yang bisa dibuktikan dengan fotocopy KK lama (sebelum perubahan) dan Akta Lahir. Apa yang harus saya lakukan?apakah ada cara lain?mengingat pengajuan paspor hanya diberikan tenggat sampai besok?mohon kebijaksanaan Kepala Dispendukcapil",DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KOTA MALANG,1,930,arifin warga kec klojen pagi imigrasi urus passpor anak verifikasi ketidaksamaan data tanggal lahir anak kk akta lahir cek nyata salah ketik tugas dispenduk ubah kk aju tolak saran laku dispenduksaat langsung tuju dispenduk tugas tolak suruh aju kk isi form kkmeminta tt rtrw lurah sungguh saran masuk akal makan jelasjelas salah tugas dispenduk bukti fotocopy kk ubah akta lahir lakukanapakah lainmengingat aju paspor tenggat besokmohon bijaksana kepala dispendukcapil
